		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.484375	M = 256	N = 8	m = 9	n = 2048
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111101010    0    0    1    0    0    1    0    1  4.076768 0.850132 SUCCESS 137
111101100    1    0    0    0    0    0    0    0  3.947475 0.861831 SUCCESS 138
111101110    0    2    0    0    0    0    1    0  8.214141 0.412837 SUCCESS 139
111110000    1    0    2    1    0    0    0    0  8.278788 0.406722 SUCCESS 140
111110010    0    0    0    1    0    0    2    2 12.480808 0.131006 SUCCESS 141
111110100    0    1    1    0    0    0    2    0  8.278788 0.406722 SUCCESS 142
111110110    0    0    0    0    1    1    0    0  4.012121 0.856028 SUCCESS 143
111111000    1    0    2    1    1    0    0    0  8.343434 0.400661 SUCCESS 144
111111010    0    0    0    0    0    0    1    0  3.947475 0.861831 SUCCESS 145
111111100    0    0    1    1    2    0    0    0  8.278788 0.406722 SUCCESS 146
111111110    0    0    0    0    2    0    0    0  8.149495 0.419005 SUCCESS 147

